,url,제목,작성일자,평수,가족형태,공간,스타일,세부공사,작업,지역,분야,예산,스크랩,좋아요,댓글,조회
10,https://ohou.se/projects/123159/detail?affect_type=ProjectSelfIndex&affect_id=10,동화 속 주인공이 살 것만 같은 유럽풍 빈티지 주택 ,3주 전,60평,신혼부부,단독주택,빈티지&레트로,0,셀프•DIY,경기도 평택시,홈스타일링,0,752,277,19,"19,324"
11,https://ohou.se/projects/123664/detail?affect_type=ProjectSelfIndex&affect_id=11,두터운 면과 예리한 선이 공존하는 자연스러운 신혼집,2주 전,20평,신혼부부,빌라&연립,모던,0,셀프•DIY,서울특별시,홈스타일링,0,757,186,73,"21,034"
12,https://ohou.se/projects/120207/detail?affect_type=ProjectSelfIndex&affect_id=12,어두운 자재는 안녕👋 화이트&우드로 깨끗하고 맑게!,3주 전,34평,신혼부부,아파트,내추럴,"주방리모델링, 조명시공, 중문, 가벽&파티션, 발코니확장",반셀프,0,리모델링,0,713,208,38,"25,435"
13,https://ohou.se/projects/123054/detail?affect_type=ProjectSelfIndex&affect_id=13,투박하지만 자연스러운 우디홈  feat. 베란다 중정,3주 전,38평,아기가 있는 집,아파트,내추럴,"주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",전문가,경기도,리모델링,0,709,250,50,"26,444"
14,https://ohou.se/projects/124373/detail?affect_type=ProjectSelfIndex&affect_id=14,백색의 도화지 같은 5평 방에 천천히 삶을 녹여내는 중,2주 전,5평,싱글라이프,원룸&오피스텔,모던,0,전문가,서울특별시,부분공사,0,753,118,66,"20,744"
15,https://ohou.se/projects/122082/detail?affect_type=ProjectSelfIndex&affect_id=15,컬러에 컬러 더하기! 개성만점 아파트 홈스타일링,3주 전,32평,아기가 있는 집,아파트,유니크&믹스매치,"주방리모델링, 중문",반셀프,경상남도 마산시,홈스타일링,"3,000만원",677,205,70,"23,829"
16,https://ohou.se/projects/119709/detail?affect_type=ProjectSelfIndex&affect_id=16,모노톤으로 차분하게 정리한 미니멀라이프 신혼집,3주 전,31평,신혼부부,아파트,모던,0,전문가,0,리모델링,0,720,155,25,"16,426"
17,https://ohou.se/projects/116918/detail?affect_type=ProjectSelfIndex&affect_id=17,미니멀 바탕에 취향을 얹어서- 스튜디오 같은 모던홈,2주 전,30평,아기가 있는 집,아파트,모던,"주방리모델링, 조명시공, 중문, 아트월",전문가,0,리모델링,0,719,139,44,"17,501"
18,https://ohou.se/projects/122383/detail?affect_type=ProjectSelfIndex&affect_id=18,쿨화이트 바탕에 단정한 베이지를 얹어 완성한 신혼집,3주 전,30평,신혼부부,아파트,모던,0,전문가,0,홈스타일링,0,682,151,38,"26,173"
19,https://ohou.se/projects/123011/detail?affect_type=ProjectSelfIndex&affect_id=19,내 심장의 색깔은 핑크💘 달콤한 솜사탕 같은 3평방,3주 전,3평,부모님과 함께 사는 집,아파트,유니크&믹스매치,0,셀프•DIY,0,홈스타일링,0,697,146,21,"14,785"
20,https://ohou.se/projects/120666/detail?affect_type=ProjectSelfIndex&affect_id=20,"건축가,디자이너 부부의 갤러리 같은 블랙&화이트 신혼집",3주 전,30평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",반셀프,서울특별시 강남구,리모델링,"3,000만원",636,196,27,"21,162"
21,https://ohou.se/projects/119393/detail?affect_type=ProjectSelfIndex&affect_id=21,따뜻한 정서가 담긴 신혼 부부의 공존(共存) 하우스,3주 전,22평,신혼부부,아파트,모던,0,전문가,경기도 광주시,리모델링,"4,800만원",601,174,51,"29,622"
22,https://ohou.se/projects/117407/detail?affect_type=ProjectSelfIndex&affect_id=22,아이보리&크림 컬러로 우아하고 아늑한 호텔 같은 집,09. 14,35평,신혼부부,아파트,모던,0,셀프•DIY,인천광역시 남동구,홈스타일링,0,597,161,17,"24,384"
23,https://ohou.se/projects/121412/detail?affect_type=ProjectSelfIndex&affect_id=23,심플해서 오히려 실용적! 육아가 편해지는 인테리어,09. 14,26평,아기가 있는 집,아파트,내추럴,0,전문가,0,리모델링,0,579,137,44,"27,077"
24,https://ohou.se/projects/123623/detail?affect_type=ProjectSelfIndex&affect_id=24,"가구로 공간 나누기, 푸른빛 색감 더하기",3주 전,4평,부모님과 함께 사는 집,기타,유니크&믹스매치,0,셀프•DIY,0,홈스타일링,0,629,117,17,"14,269"
25,https://ohou.se/projects/123517/detail?affect_type=ProjectSelfIndex&affect_id=25,"시공 포인트와 수납으로, 단정한 미니멀 하우스 만들기",3주 전,25평,아기가 있는 집,아파트,미니멀&심플,0,전문가,서울특별시 동대문구,리모델링,0,520,194,57,"24,711"
26,https://ohou.se/projects/125402/detail?affect_type=ProjectSelfIndex&affect_id=26,위시리스트 실현! 가성비와 FLEX를 넘나드는 신혼집,1주 전,25평,신혼부부,아파트,내추럴,0,전문가,서울특별시,리모델링,0,540,145,57,"17,565"
27,https://ohou.se/projects/122854/detail?affect_type=ProjectSelfIndex&affect_id=27,깔끔한데 포인트도 있다! 디자이너의 14평 오피스텔,2주 전,14평,싱글라이프,원룸&오피스텔,모던,0,셀프•DIY,경기도,홈스타일링,0,558,94,29,"19,926"
28,https://ohou.se/projects/124264/detail?affect_type=ProjectSelfIndex&affect_id=28,"빈티지 케이크와 플로럴, 미국 하이틴 감성 방꾸미기",1주 전,10평,기타,아파트,러블리&로맨틱,0,셀프•DIY,0,홈스타일링,0,537,231,26,"8,723"
29,https://ohou.se/projects/125619/detail?affect_type=ProjectSelfIndex&affect_id=29,"세 가족이 사는 아늑 하우스, 소탈하지만 사랑스럽게",1주 전,25평,아기가 있는 집,아파트,내추럴,0,셀프•DIY,경기도 시흥시,홈스타일링,0,523,136,44,"19,279"
30,https://ohou.se/projects/126374/detail?affect_type=ProjectSelfIndex&affect_id=30,차분한 톤으로 홈스타일링 한 디자이너의 30평대 신혼집,1주 전,34평,신혼부부,아파트,0,"조명시공, 발코니확장",셀프•DIY,0,홈스타일링,0,510,101,28,"20,744"
31,https://ohou.se/projects/123107/detail?affect_type=ProjectSelfIndex&affect_id=31,라이프스타일과 취향을 담아 리모델링한 20평대 아파트,2주 전,24평,싱글라이프,아파트,모던,"주방리모델링, 조명시공, 발코니확장",전문가,서울특별시 강남구,리모델링,"4,500만원",504,126,33,"16,078"
32,https://ohou.se/projects/120667/detail?affect_type=ProjectSelfIndex&affect_id=32,슈퍼 J가 계획한 방 마다 포인트가 있는 23평 신혼집,09. 14,23평,신혼부부,아파트,모던,0,반셀프,서울특별시,리모델링,"2,300만원",483,110,9,"19,242"
33,https://ohou.se/projects/121813/detail?affect_type=ProjectSelfIndex&affect_id=33,글라스 폴딩도어로 개방감을 더한 20평대 신혼집,2주 전,28평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 폴딩도어",반셀프,서울특별시 성북구,리모델링,"3,500만원",438,129,67,"21,517"
34,https://ohou.se/projects/124969/detail?affect_type=ProjectSelfIndex&affect_id=34,베이지톤 아트월을 살려서- 화이트 신혼집 인테리어,1주 전,28평,신혼부부,아파트,내추럴,0,셀프•DIY,0,홈스타일링,"1,000만원",461,139,30,"17,357"
35,https://ohou.se/projects/120881/detail?affect_type=ProjectSelfIndex&affect_id=35,"애매했던 구축 구조, 색감과 곡선을 넣어 깔끔하게",3주 전,33평,신혼부부,아파트,내추럴,"주방리모델링, 조명시공, 폴딩도어, 중문, 발코니확장",전문가,부산광역시 동래구,리모델링,"3,000만원",420,162,35,"20,907"
36,https://ohou.se/projects/123684/detail?affect_type=ProjectSelfIndex&affect_id=36,심심한 스타일링은 No! 과즙미 톡톡 터지는 컬러 매치,2주 전,31평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 폴딩도어, 중문",전문가,경기도 안산시,홈스타일링,"3,500만원",438,125,36,"16,509"
37,https://ohou.se/projects/66821/detail?affect_type=ProjectSelfIndex&affect_id=37,"원할 때 꺼내쓰는 거실, 침실! 작은집도 문제없어요🤗",3주 전,12평,기타,아파트,내추럴,"헤링본 마루, 주방리모델링, 조명시공",전문가,0,리모델링,0,463,91,21,"12,183"
38,https://ohou.se/projects/123410/detail?affect_type=ProjectSelfIndex&affect_id=38,"9년 간 살던 체리몰딩 구축, 화이트 모던홈으로 재탄생",2주 전,35평,아기가 있는 집,아파트,모던,0,전문가,경기도 군포시,리모델링,0,404,147,73,"20,357"
39,https://ohou.se/projects/120936/detail?affect_type=ProjectSelfIndex&affect_id=39,화이트우드에 무몰딩까지! 호텔 감성 신혼집 만들기 ,3주 전,20평,신혼부부,빌라&연립,내추럴,0,전문가,서울특별시,리모델링,"9,500만원",421,86,58,"20,461"
40,https://ohou.se/projects/120589/detail?affect_type=ProjectSelfIndex&affect_id=40,템바보드로 인테리어 포인트를 준 20평대 화이트 신혼집,3주 전,28평,신혼부부,아파트,내추럴,"주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어, 발코니확장",전문가,강원도 삼척시,리모델링,"6,000만원",416,114,28,"20,427"
41,https://ohou.se/projects/125835/detail?affect_type=ProjectSelfIndex&affect_id=41,취향 가득 초록 숲을 꿈꾸는 디자이너의 작은 방,1주 전,38평,부모님과 함께 사는 집,단독주택,0,0,셀프•DIY,제주특별자치도 제주시,홈스타일링,100만원,462,74,20,"7,290"
42,https://ohou.se/projects/118676/detail?affect_type=ProjectSelfIndex&affect_id=42,"포근한 내추럴에서 시크한 모던으로, 스타일링 대변신",3주 전,24평,신혼부부,아파트,모던,0,셀프•DIY,인천광역시 계양구,홈스타일링,0,422,104,16,"15,963"
43,https://ohou.se/projects/124199/detail?affect_type=ProjectSelfIndex&affect_id=43,"이 세상 모든 취미, 집에서 재미있게 즐길 수 있도록",2주 전,8평,싱글라이프,원룸&오피스텔,내추럴,0,셀프•DIY,0,홈스타일링,0,426,82,16,"13,349"
44,https://ohou.se/projects/120521/detail?affect_type=ProjectSelfIndex&affect_id=44,"후회 없는 올리모델링, 수납 공간도 확실히 챙겼어요",3주 전,40평,신혼부부,아파트,모던,0,전문가,경기도,리모델링,"10,000만원",383,99,29,"24,089"
45,https://ohou.se/projects/121950/detail?affect_type=ProjectSelfIndex&affect_id=45,"디자이너의 1.5룸, 이야기를 품은 물건들로 채우다 ",3주 전,4평,싱글라이프,빌라&연립,빈티지&레트로,0,셀프•DIY,0,홈스타일링,0,433,66,7,"11,489"
46,https://ohou.se/projects/121256/detail?affect_type=ProjectSelfIndex&affect_id=46,"칼각 수납 깔끔 하우스, 우드 포인트까지 살렸어요 ",2주 전,39평,아기가 있는 집,아파트,내추럴,"주방리모델링, 조명시공, 중문, 가벽&파티션, 아트월, 발코니확장",전문가,경기도 부천시,리모델링,"6,800만원",362,137,44,"21,897"
47,https://ohou.se/projects/123365/detail?affect_type=ProjectSelfIndex&affect_id=47,"엄마의 취미는 요리조리 집꾸미기, 심플함에 포인트 톡!",3주 전,27평,취학 자녀가 있는 집,아파트,모던,0,셀프•DIY,0,홈스타일링,0,388,102,10,"17,406"
48,https://ohou.se/projects/122261/detail?affect_type=ProjectSelfIndex&affect_id=48,알록달록 색감맛집🌈 LA인턴의 방(feat. 이케아),3주 전,25평,기타,기타,유니크&믹스매치,0,셀프•DIY,0,홈스타일링,0,405,113,29,"9,772"
49,https://ohou.se/projects/123433/detail?affect_type=ProjectSelfIndex&affect_id=49,깨끗한 화이트에 따뜻한 색감을 더해 만든 러블리 신혼집,2주 전,24평,신혼부부,아파트,모던,0,전문가,서울특별시 서대문구,리모델링,"3,500만원",384,99,47,"15,342"
50,https://ohou.se/projects/124375/detail?affect_type=ProjectSelfIndex&affect_id=50,확장하지 않아도 괜찮아! 햇살 가득 화이트톤 구축 ,1주 전,24평,신혼부부,아파트,내추럴,0,전문가,0,리모델링,"2,000만원",371,133,41,"16,636"
51,https://ohou.se/projects/126634/detail?affect_type=ProjectSelfIndex&affect_id=51,공간 디자인 전공자가 심혈을 기울여서 고친 17평 구축,1주 전,17평,신혼부부,아파트,0,"주방리모델링, 조명시공, 가벽&파티션, 발코니확장",반셀프,서울특별시,리모델링,"3,300만원",397,95,40,"11,924"
52,https://ohou.se/projects/125617/detail?affect_type=ProjectSelfIndex&affect_id=52,빈티지 오브제로 더 특별하게- 나만의 전시장 같은 방,1주 전,12평,싱글라이프,아파트,빈티지&레트로,0,셀프•DIY,경기도,홈스타일링,0,408,91,25,"6,822"
53,https://ohou.se/projects/123962/detail?affect_type=ProjectSelfIndex&affect_id=53,꼼꼼 시공으로 환해졌어요! 산뜻한 올화이트 신혼집,2주 전,18평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문, 발코니확장",전문가,경기도 고양시,리모델링,"6,500만원",378,91,71,"11,626"
54,https://ohou.se/projects/120646/detail?affect_type=ProjectSelfIndex&affect_id=54,"부부의 미니멀 홈, 세 가족의 스토리가 담긴 집으로- ",2주 전,35평,아기가 있는 집,아파트,내추럴,"주방리모델링, 조명시공",반셀프,경기도,리모델링,"5,200만원",387,68,13,"15,123"
55,https://ohou.se/projects/120847/detail?affect_type=ProjectSelfIndex&affect_id=55,"엄청난 양의 주방용품, 기다란 ㄱ주방으로 알차게 수납!",2주 전,31평,아기가 있는 집,아파트,모던,"주방리모델링, 조명시공, 중문, 슬라이딩도어, 발코니확장",전문가,서울특별시 동대문구,리모델링,"6,000만원",365,88,71,"13,814"
56,https://ohou.se/projects/124204/detail?affect_type=ProjectSelfIndex&affect_id=56,"특별함은 없을지라도, 심플하게 정리 된 33평 신혼집",2주 전,33평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문",전문가,광주광역시 광산구,리모델링,"5,000만원",329,98,34,"19,215"
57,https://ohou.se/projects/126370/detail?affect_type=ProjectSelfIndex&affect_id=57,모노톤 방안에 담긴 나만의 작은 변화들,2일 전,34평,부모님과 함께 사는 집,기타,모던,0,셀프•DIY,경기도 화성시,홈스타일링,500만원,375,75,22,"6,573"
58,https://ohou.se/projects/118419/detail?affect_type=ProjectSelfIndex&affect_id=58,사계절 뷰를 코 앞에서 즐길 수 있는 저층 라이프,3주 전,33평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 슬라이딩도어",반셀프,경기도 오산시,리모델링,"2,500만원",302,166,33,"15,616"
59,https://ohou.se/projects/118555/detail?affect_type=ProjectSelfIndex&affect_id=59,"요리와 커피, 일상 속 소소한 행복을 집에 담아요",3주 전,12평,싱글라이프,빌라&연립,모던,0,셀프•DIY,서울특별시 관악구,홈스타일링,500만원,359,65,11,"11,602"
60,https://ohou.se/projects/120996/detail?affect_type=ProjectSelfIndex&affect_id=60,시공 없이 컬러풀한 가구와 소품으로 꾸민 부부의 집 ,3주 전,30평,신혼부부,아파트,모던,0,셀프•DIY,0,홈스타일링,0,323,97,19,"14,987"
61,https://ohou.se/projects/123523/detail?affect_type=ProjectSelfIndex&affect_id=61,포근한 대면형 주방 완성! 32평 신축에 취향 더하기,1주 전,32평,아기가 있는 집,아파트,내추럴,"주방리모델링, 조명시공",반셀프,서울특별시 강남구,부분공사,0,334,85,32,"10,881"
62,https://ohou.se/projects/125134/detail?affect_type=ProjectSelfIndex&affect_id=62,"노는 게 제일 좋은 직장인, 나의 놀이터 나만의 방",1주 전,3평,부모님과 함께 사는 집,기타,0,0,셀프•DIY,0,홈스타일링,0,346,70,9,"9,028"
63,https://ohou.se/projects/121770/detail?affect_type=ProjectSelfIndex&affect_id=63,"작은 집도 예쁘게, 도자기 감성을 담은 12평 신혼집",3주 전,12평,신혼부부,원룸&오피스텔,0,0,셀프•DIY,0,홈스타일링,0,307,97,19,"17,558"
64,https://ohou.se/projects/125850/detail?affect_type=ProjectSelfIndex&affect_id=64,"유니크한 편집숍st 집에서, 다채로운 다묘&신혼 라이프",2주 전,32평,신혼부부,아파트,유니크&믹스매치,0,반셀프,0,리모델링,0,326,79,39,"9,658"
65,https://ohou.se/projects/127079/detail?affect_type=ProjectSelfIndex&affect_id=65,"디자이너 부부의 우드 하우스, 단정하고 따뜻하게",2일 전,30평,신혼부부,아파트,내추럴,0,반셀프,경기도 안산시,리모델링,"1,700만원",332,76,26,"9,468"
66,https://ohou.se/projects/123069/detail?affect_type=ProjectSelfIndex&affect_id=66,꿈과 낭만이 피어나는 탑층 아파트에서 살아요,3주 전,32평,취학 자녀가 있는 집,아파트,내추럴,0,전문가,0,리모델링,"4,000만원",305,76,40,"15,009"
67,https://ohou.se/projects/118684/detail?affect_type=ProjectSelfIndex&affect_id=67,매일매일이 호캉스 같은! 피곤함이 사라지는 집,3주 전,40평,취학 자녀가 있는 집,아파트,모던,"주방리모델링, 조명시공, 가벽&파티션, 발코니확장",전문가,인천광역시 서구,리모델링,"12,000만원",270,105,20,"23,144"
68,https://ohou.se/projects/125847/detail?affect_type=ProjectSelfIndex&affect_id=68,거실 아트월=옷장? 옷도 가전도 꼭꼭 숨긴 30평대!,6일 전,30평,취학 자녀가 있는 집,아파트,0,"주방리모델링, 조명시공, 중문, 슬라이딩도어, 발코니확장",전문가,서울특별시 강남구,리모델링,0,294,74,25,"15,330"
69,https://ohou.se/projects/121774/detail?affect_type=ProjectSelfIndex&affect_id=69,"나만의 첫 공간, 귀염뽀짝 소품과 옐로우로 아기자기하게",2주 전,11평,싱글라이프,원룸&오피스텔,유니크&믹스매치,0,셀프•DIY,서울특별시 광진구,홈스타일링,300만원,309,63,14,"10,602"
70,https://ohou.se/projects/125198/detail?affect_type=ProjectSelfIndex&affect_id=70,한국 생활 2년차 미국인의 5평짜리 K-원룸 적응기😎,1주 전,5평,싱글라이프,원룸&오피스텔,내추럴,0,셀프•DIY,서울특별시 관악구,홈스타일링,0,283,110,19,"13,321"
71,https://ohou.se/projects/125101/detail?affect_type=ProjectSelfIndex&affect_id=71,"반려묘와 함께 사는 집, 나무결을 살려 단정하게-",1주 전,25평,싱글라이프,빌라&연립,내추럴,0,전문가,서울특별시 서대문구,리모델링,0,298,90,27,"7,925"
72,https://ohou.se/projects/125444/detail?affect_type=ProjectSelfIndex&affect_id=72,"Small but enough, 호텔을 꿈꾸는 신혼집 ",4일 전,20평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문, 발코니확장",전문가,경기도 성남시,리모델링,"5,000만원",283,95,23,"10,944"
73,https://ohou.se/projects/124176/detail?affect_type=ProjectSelfIndex&affect_id=73,와인바? 스튜디오? 이국적인 2층집에서 모두 가능해😎,2주 전,25평,신혼부부,빌라&연립,유니크&믹스매치,"주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",전문가,서울특별시 서대문구,리모델링,"7,500만원",276,86,42,"12,543"
74,https://ohou.se/projects/121858/detail?affect_type=ProjectSelfIndex&affect_id=74,놀라운 비포애프터! 화이트&베이지로 꾸민 구축아파트,2주 전,27평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문, 가벽&파티션",셀프•DIY,부산광역시 북구,리모델링,"3,800만원",272,50,28,"16,179"
75,https://ohou.se/projects/123530/detail?affect_type=ProjectSelfIndex&affect_id=75,평온재| 비우고 아끼며 몸과 마음의 에너지를 얻는 곳,1주 전,55평,신혼부부,아파트,한국&아시아,0,셀프•DIY,0,홈스타일링,0,252,90,20,"14,120"
76,https://ohou.se/projects/124134/detail?affect_type=ProjectSelfIndex&affect_id=76,"답답한 팬트리를 철거 후 얻은, 가족의 따뜻한 다이닝룸",3주 전,33평,취학 자녀가 있는 집,아파트,내추럴,"주방리모델링, 조명시공, 중문, 가벽&파티션",전문가,경기도 시흥시,부분공사,"1,200만원",259,70,32,"11,164"
77,https://ohou.se/projects/121304/detail?affect_type=ProjectSelfIndex&affect_id=77,집이 주는 커다란 힘을 느끼며- 매력적인 구축에 살아요,3주 전,30평,신혼부부,아파트,모던,"주방리모델링, 조명시공, 중문, 발코니확장",전문가,서울특별시,리모델링,0,239,67,27,"12,944"
78,https://ohou.se/projects/125066/detail?affect_type=ProjectSelfIndex&affect_id=78,나의 취향과 관심을 담은 '헤븐-일레븐' 9평 오피스텔,6일 전,9평,싱글라이프,원룸&오피스텔,0,0,셀프•DIY,대전광역시 서구,홈스타일링,100만원,252,63,20,"7,499"
